name	included	major
16-bit	0	0
2-step	0	0
2 tone	0	0
aak	0	0
abkhazian folk music	0	0
aboio	0	0
aboio cantado	0	0
abstract hip hop	0	0
a cappella	0	0
acidcore	0	0
acid croft	0	0
acid house	0	0
acid jazz	0	0
acid rock	0	0
acid techno	0	0
acid trance	0	0
acoustic blues	0	0
acoustic chicago blues	0	0
acoustic rock	0	0
acoustic texas blues	0	0
adult contemporary	0	0
aegean islands folk music	0	0
afoxé	0	0
african folk music	0	0
african music	0	0
afrobeat	0	0
afrobeats	0	0
afro-cuban jazz	0	0
afro-funk	0	0
afro-house	0	0
afro-jazz	0	0
afro-rock	0	0
afroswing	0	0
afro trap	0	0
aggrotech	0	0
ainu folk music	0	0
aita	0	0
akan music	0	0
albanian folk music	0	0
alevi folk music	0	0
algerian chaabi	0	0
algorave	0	0
alpenrock	0	0
alpine folk music	0	0
alsatian folk music	0	0
altai traditional music	0	0
alt-country	1	0
alternative dance	1	0
alternative metal	0	0
alternative r&b	1	0
alternative rock	1	0
amami shimauta	0	0
amapiano	0	0
amazigh music	0	0
ambasse bey	0	0
ambient	0	1
ambient dub	0	0
ambient house	0	0
ambient pop	1	0
ambient techno	0	0
ambient trance	0	0
americana	0	0
american folk music	0	0
american primitivism	0	0
anarcho-punk	0	0
anatolian rock	0	0
ancient chinese music	0	0
ancient egyptian music	0	0
ancient greek music	0	0
ancient levitical music	0	0
ancient music	0	0
ancient roman music	0	0
andalusian classical music	0	0
andalusian folk music	0	0
andalusian rock	0	0
andean new age	0	0
andean rock	0	0
animal sounds	0	0
anti-folk	0	0
aor	0	0
apala	0	0
appalachian folk music	0	0
arabesque	0	0
arabesque rap	0	0
arabic bellydance music	0	0
arabic classical music	0	0
arabic folk music	0	0
arabic jazz	0	0
arabic music	0	0
arabic pop	0	0
aragonese folk music	0	0
armenian church music	0	0
armenian folk music	0	0
armenian music	0	0
arrocha	0	0
ars antiqua	0	0
ars nova	0	0
ars subtilior	0	0
art pop	1	0
art punk	0	0
art rock	1	0
ashkenazi music	0	0
asmr	0	0
assamese folk music	0	0
assiko	0	0
assyrian folk music	0	0
asturian folk music	0	0
atlanta bass	0	0
atmospheric black metal	0	0
atmospheric drum and bass	0	0
atmospheric sludge metal	0	0
australian folk music	0	0
austronesian traditional music	0	0
auvergnat folk music	0	0
avant-folk	0	0
avant-garde jazz	0	0
avant-garde metal	0	0
avant-prog	0	0
avar folk music	0	0
axé	0	0
azerbaijani music	0	0
azmari	0	0
bachata	0	0
bagad	0	0
baggy / madchester	0	0
baião	0	0
baila	0	0
baisha xiyue	0	0
bakersfield sound	0	0
balani show	0	0
balearic beat	0	0
balitaw	0	0
balkan brass band	0	0
balkan folk music	0	0
balkan music	0	0
balkan pop-folk	0	0
ballroom	0	0
balochi traditional music	0	0
baltimore club	0	0
bamar folk music	0	0
bambuco	0	0
bandari	0	0
bandas de viento de méxico	0	0
banda sinaloense	0	0
barbershop	0	0
bard music	0	0
baroque music	0	0
baroque pop	1	0
bashkir folk music	0	0
basque folk music	0	0
bass house	0	0
bassline	0	0
batak pop	0	0
batida	0	0
batucada	0	0
batuque	0	0
beatdown hardcore	0	0
